game_id,game_date,away_team_id,home_team_id
401827058,2025-11-06,2908,278
401826086,2025-11-06,2449,302
401825576,2025-11-06,3218,147
401824022,2025-11-06,3246,3101
401823351,2025-11-06,2453,344
401830411,2025-11-06,2486,13
401824061,2025-11-06,109670,279
401823499,2025-11-06,331,2351
401823441,2025-11-07,2454,57
401817240,2025-11-07,2296,97
401819871,2025-11-07,2755,66
401823475,2025-11-07,2771,2
401820183,2025-11-06,3183,2352
401823550,2025-11-06,2850,2934
401826757,2025-11-06,40,160
401813273,2025-11-06,3164,2415
401812351,2025-11-06,112358,85
401830236,2025-11-07,2177,47
401829497,2025-11-07,3153,295
401829414,2025-11-07,110414,2329
401829053,2025-11-07,2886,2711
401828913,2025-11-07,73,282
401827521,2025-11-07,108806,2261
401827484,2025-11-07,424,325
401823416,2025-11-07,2062,189
401822370,2025-11-07,112686,2815
401820837,2025-11-07,2648,2127
401819915,2025-11-07,2097,277
401817212,2025-11-07,2643,103
401813346,2025-11-07,2018,2099
401813253,2025-11-07,2287,195
401812643,2025-11-07,2115,2514
401812333,2025-11-07,2330,2752
401809414,2025-11-07,2065,2390
401823399,2025-11-07,2523,2181
401829685,2025-11-07,2016,6
401829472,2025-11-07,512,2571
401828543,2025-11-07,111166,2198
401828275,2025-11-07,2466,249
401827256,2025-11-07,2650,2572
401827003,2025-11-07,2640,245
401826042,2025-11-07,27,155
401823522,2025-11-07,2437,2000
401823340,2025-11-07,3155,294
401820541,2025-11-07,2463,2460
401817453,2025-11-07,357,2567
401817183,2025-11-07,2130,139
401812250,2025-11-07,2598,2628
401817154,2025-11-07,2385,2350
401826738,2025-11-07,2172,264
401817219,2025-11-07,2750,25
401824088,2025-11-07,2029,2501
401826869,2025-11-08,2473,2509
401812786,2025-11-08,2349,41
401822330,2025-11-08,2674,96
401819899,2025-11-08,2534,2641
401813757,2025-11-08,2492,26
401824023,2025-11-08,3101,12
401823225,2025-11-08,526,356
401817263,2025-11-08,2305,153
401823461,2025-11-08,2459,275
401828301,2025-11-07,2732,48
401828911,2025-11-07,502,339
401818367,2025-11-07,171,2441
401829342,2025-11-07,2565,2636
401828495,2025-11-07,2299,2916
401827273,2025-11-07,111,2142
401812599,2025-11-07,109,108
401827449,2025-11-07,232,2335
401824357,2025-11-07,104,77
401822724,2025-11-07,46,120
401817164,2025-11-07,202,227
401823426,2025-11-07,2739,2084
401823392,2025-11-07,2870,194
401829486,2025-11-08,3229,324
401829448,2025-11-08,2032,2617
401826706,2025-11-08,2011,52
401826698,2025-11-08,2737,2244
401826069,2025-11-08,455,2515
401825382,2025-11-08,2938,2698
401825204,2025-11-08,123362,56
401824868,2025-11-08,2653,231
401824302,2025-11-08,2275,314
401824134,2025-11-08,265,2166
401823647,2025-11-08,2710,2294
401823352,2025-11-08,6371,2453
401823009,2025-11-08,172,2309
401822318,2025-11-08,2365,2050
401820797,2025-11-08,2635,2429
401819843,2025-11-08,2247,2132
401818547,2025-11-08,2561,225
401817528,2025-11-08,2413,154
401817487,2025-11-08,2428,258
401817442,2025-11-08,2344,221
401817132,2025-11-08,2174,87
401813445,2025-11-08,2529,2184
401812917,2025-11-08,2241,228
401812573,2025-11-08,2827,219
401809074,2025-11-08,2083,116
401831071,2025-11-08,2652,193
401828492,2025-11-08,2433,145
401826892,2025-11-08,2681,2550
401822166,2025-11-08,289,2230
401820614,2025-11-08,2803,59
401829345,2025-11-08,2546,142
401828917,2025-11-08,140,79
401826918,2025-11-08,2862,2458
401826860,2025-11-08,2400,93
401825587,2025-11-08,130183,2464
401824945,2025-11-08,284,305
401822735,2025-11-08,2670,328
401822366,2025-11-08,2447,2197
401829277,2025-11-08,2569,2535
401823514,2025-11-08,2678,88
401808949,2025-11-08,2545,309
401828473,2025-11-08,2703,2638
401823554,2025-11-08,304,301
401823509,2025-11-08,2720,70
401823002,2025-11-08,2754,2253
401818298,2025-11-08,43,2426
